date,close
2014-02-07,361.08
2014-02-06,354.59
2014-02-05,346.45
2014-02-04,347.95
2014-02-03,346.15
2014-01-31,358.69
2014-01-30,403.01
2014-01-29,384.2
2014-01-28,394.43
2014-01-27,386.28
2014-01-24,387.6
2014-01-23,399.87
2014-01-22,404.54
2014-01-21,407.05
2014-01-17,399.61
2014-01-16,395.8
2014-01-15,395.87
2014-01-14,397.54
2014-01-13,390.98
2014-01-10,397.66
2014-01-09,401.01
2014-01-08,401.92
2014-01-07,398.03
2014-01-06,393.63
2014-01-03,396.44
2014-01-02,397.97
2013-12-31,398.79
2013-12-30,393.37
2013-12-27,398.08
2013-12-26,404.39
2013-12-24,399.2
2013-12-23,402.92
2013-12-20,402.2
2013-12-19,395.19
2013-12-18,395.96
2013-12-17,387.65
2013-12-16,388.97
2013-12-13,384.24
2013-12-12,381.25
2013-12-11,382.19
2013-12-10,387.78
2013-12-09,384.89
2013-12-06,386.95
2013-12-05,384.49
2013-12-04,385.96
2013-12-03,384.66
2013-12-02,392.3
2013-11-29,393.62
2013-11-27,386.71
2013-11-26,381.37
2013-11-25,376.64
2013-11-22,372.31
2013-11-21,368.92
2013-11-20,362.57
2013-11-19,364.94
2013-11-18,366.18
2013-11-15,369.17
2013-11-14,367.4
2013-11-13,356.22
2013-11-12,349.53
2013-11-11,354.38
2013-11-08,350.31
2013-11-07,343.56
2013-11-06,356.18
2013-11-05,358.89
2013-11-04,358.74
2013-11-01,359.0
2013-10-31,364.03
2013-10-30,361.08
2013-10-29,362.7
2013-10-28,358.16
2013-10-25,363.39
2013-10-24,332.21
2013-10-23,326.76
2013-10-22,332.54
2013-10-21,326.44
2013-10-18,328.93
2013-10-17,310.77
2013-10-16,310.49
2013-10-15,306.4
2013-10-14,310.7
2013-10-11,310.89
2013-10-10,305.17
2013-10-09,298.23
2013-10-08,303.23
2013-10-07,310.03
2013-10-04,319.04
2013-10-03,314.76
2013-10-02,320.51
2013-10-01,320.95
2013-09-30,312.64
2013-09-27,316.01
2013-09-26,318.12
2013-09-25,312.65
2013-09-24,314.13
2013-09-23,311.49
2013-09-20,316.34
2013-09-19,312.06
2013-09-18,312.03
2013-09-17,304.17
2013-09-16,296.06
2013-09-13,297.92
2013-09-12,298.86
2013-09-11,299.64
2013-09-10,300.36
2013-09-09,299.71
2013-09-06,295.86
2013-09-05,294.1
2013-09-04,293.64
2013-09-03,288.8
2013-08-30,280.98
2013-08-29,283.98
2013-08-28,281.58
2013-08-27,280.93
2013-08-26,286.21
2013-08-23,290.01
2013-08-22,289.73
2013-08-21,284.57
2013-08-20,287.09
2013-08-19,285.57
2013-08-16,284.82
2013-08-15,286.47
2013-08-14,291.34
2013-08-13,293.97
2013-08-12,296.69
2013-08-09,297.26
2013-08-08,295.74
2013-08-07,296.91
2013-08-06,300.75
2013-08-05,300.99
2013-08-02,304.21
2013-08-01,305.57
2013-07-31,301.22
2013-07-30,302.41
2013-07-29,306.1
2013-07-26,312.01
2013-07-25,303.4
2013-07-24,298.94
2013-07-23,301.06
2013-07-22,303.48
2013-07-19,305.23
2013-07-18,304.11
2013-07-17,308.69
2013-07-16,306.87
2013-07-15,306.57
2013-07-12,307.55
2013-07-11,299.66
2013-07-10,292.33
2013-07-09,291.53
2013-07-08,290.59
2013-07-05,285.88
2013-07-03,284.03
2013-07-02,283.73
2013-07-01,282.1
2013-06-28,277.69
2013-06-27,277.55
2013-06-26,277.57
2013-06-25,272.09
2013-06-24,270.61
2013-06-21,273.36
2013-06-20,273.44
2013-06-19,278.16
2013-06-18,281.76
2013-06-17,278.06
2013-06-14,273.99
2013-06-13,275.79
2013-06-12,271.67
2013-06-11,274.78
2013-06-10,281.07
2013-06-07,276.87
2013-06-06,267.83
2013-06-05,267.17
2013-06-04,265.7
2013-06-03,266.88
2013-05-31,269.2
2013-05-30,266.83
2013-05-29,265.53
2013-05-28,267.29
2013-05-24,261.74
2013-05-23,261.8
2013-05-22,262.96
2013-05-21,268.86
2013-05-20,267.63
2013-05-17,269.9
2013-05-16,264.12
2013-05-15,266.56
2013-05-14,268.33
2013-05-13,264.51
2013-05-10,263.63
2013-05-09,260.16
2013-05-08,258.68
2013-05-07,257.73
2013-05-06,255.72
2013-05-03,258.05
2013-05-02,252.55
2013-05-01,248.23
2013-04-30,253.81
2013-04-29,249.74
2013-04-26,254.81
2013-04-25,274.7
2013-04-24,268.78
2013-04-23,268.9
2013-04-22,263.55
2013-04-19,260.32
2013-04-18,259.42
2013-04-17,267.4
2013-04-16,272.34
2013-04-15,267.72
2013-04-12,272.87
2013-04-11,269.85
2013-04-10,264.77
2013-04-09,261.14
2013-04-08,258.95
2013-04-05,255.48
2013-04-04,259.08
2013-04-03,259.03
2013-04-02,263.32
2013-04-01,261.61
2013-03-28,266.49
2013-03-27,265.3
2013-03-26,260.31
2013-03-25,256.02
2013-03-22,257.75
2013-03-21,253.39
2013-03-20,257.28
2013-03-19,256.41
2013-03-18,257.89
2013-03-15,261.82
2013-03-14,265.74
2013-03-13,275.1
2013-03-12,274.13
2013-03-11,271.24
2013-03-08,274.19
2013-03-07,273.88
2013-03-06,273.79
2013-03-05,275.59
